nose_x,nose_y,leftEye_x,leftEye_y,rightEye_x,rightEye_y,leftEar_x,leftEar_y,rightEar_x,rightEar_y,neck_x,neck_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,root_x,root_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,label,sample_id,source
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.68,0.42000000000000004,0.64,0.56,0.64,0.38,0.55,0.6,0.55,0.36,0.47,0.62,0.47,0.43999999999999995,0.5,0.54,0.5,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,derecho,0_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.67,0.41000000000000003,0.63,0.5700000000000001,0.63,0.37,0.54,0.61,0.54,0.35,0.46,0.63,0.46,0.43999999999999995,0.49,0.54,0.49,0.49,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,1_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.66,0.4,0.62,0.5800000000000001,0.62,0.36,0.53,0.62,0.53,0.33999999999999997,0.45,0.64,0.45,0.43000000000000005,0.48,0.53,0.48,0.48,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,2_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.65,0.39,0.61,0.5900000000000001,0.61,0.35,0.52,0.63,0.52,0.32999999999999996,0.44,0.65,0.44,0.42000000000000004,0.47,0.53,0.47,0.48,0.46,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,3_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.64,0.38,0.6,0.6,0.6,0.33999999999999997,0.51,0.64,0.51,0.31999999999999995,0.43,0.6599999999999999,0.43,0.42000000000000004,0.46,0.52,0.46,0.47,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,4_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45999999999999996,0.63,0.37,0.59,0.61,0.59,0.32999999999999996,0.5,0.65,0.5,0.31000000000000005,0.42,0.6699999999999999,0.42,0.41000000000000003,0.45,0.52,0.45,0.45999999999999996,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,5_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44999999999999996,0.62,0.36,0.58,0.62,0.58,0.31999999999999995,0.49,0.6599999999999999,0.49,0.30000000000000004,0.41,0.6799999999999999,0.41,0.41000000000000003,0.44,0.51,0.44,0.44999999999999996,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,inclinado_jorobado,6_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43999999999999995,0.61,0.35,0.57,0.63,0.57,0.31000000000000005,0.48,0.6699999999999999,0.48,0.29000000000000004,0.4,0.69,0.4,0.4,0.43,0.51,0.43,0.43999999999999995,0.42,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,derecho,7_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43000000000000005,0.6,0.33999999999999997,0.56,0.64,0.56,0.30000000000000004,0.47,0.6799999999999999,0.47,0.28,0.39,0.7,0.39,0.4,0.42,0.5,0.42,0.43000000000000005,0.41,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,derecho,8_1_mirror,training_pose_recording.csv_espejo
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.42000000000000004,0.59,0.32999999999999996,0.55,0.65,0.55,0.29000000000000004,0.46,0.69,0.46,0.27,0.38,0.71,0.38,0.39,0.41,0.5,0.41,0.42000000000000004,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,derecho,9_1_mirror,training_pose_recording.csv_espejo
